titre,url_source,source_id,source_name,organisme,date_publication,date_limite,categories,tags,eligibilite,perimetre_niveau,perimetre_geo,montant_min,montant_max,resume,url_candidature,email_contact,fingerprint,statut,urgence,is_active,days_remaining
La Social Cup,https://www.carenews.com/appels-a-projet/la-social-cup,carenews,Carenews,Non spécifié,2025-12-01,2026-01-06,"education-jeunesse, culture-sport, solidarite-inclusion",,,,,,,"COUPE DE FRANCE DES JEUNES QUI AGISSENT POUR UN MONDE DURABLE ET SOLIDAIRE

La 12ème édition de la Social Cup est lancée !
C'est parti, encourageons les jeunes entrepreneurs à prendre ce tremplin avec nous !

Voici les informations clés et tout ce qu'il faut savoir :


📅 Quand ? Du lundi 17 ...",,,dbd73f4a09c4ddb9,ouvert,urgent,True,3
Incubateur de makesense - Promo 2026,https://www.carenews.com/appels-a-projet/incubateur-de-makesense-promo-2026,carenews,Carenews,Non spécifié,2025-11-17,2026-01-04,"sante-handicap, solidarite-inclusion, numerique",,,,,,,"Pendant 9 mois, rejoins un programme d’accompagnement qui mise sur la robustesse pour changer les systèmes. 

Au menu : un suivi individuel auprès d’un expert·e choisi·e selon tes besoins, des formations collectives auprès de spécialistes, des bureaux au cœur de Paris et l’accès à un écosystème ...",,,02ed7e41f016067a,ouvert,urgent,True,1
Concours 2026 de La France s'engage,https://www.carenews.com/appels-a-projet/concours-2026-de-la-france-s-engage,carenews,Carenews,Non spécifié,2025-12-24,2026-01-29,"numerique, environnement-transition, solidarite-inclusion",,,,,,,"Chaque année, le concours de la Fondation La France s’engage sélectionne entre 10 à 15 projets d’innovation sociale et/ou environnementale portés par des acteurs de l’économie sociale et solidaire.

Les lauréats voient leur croissance amplifier à travers : un label ; une dotation financière ...",,,1b74ed0cf1f63b0c,ouvert,proche,True,26
Appel à projets recherche médicale 2026,https://www.carenews.com/appels-a-projet/appel-a-projets-recherche-medicale-2026,carenews,Carenews,Non spécifié,2025-12-24,2026-01-29,"sante-handicap, numerique",,,,,,,"Depuis plus de 35 ans, la Fondation de l’Avenir a vocation à soutenir et à promouvoir la recherche et l’innovation en santé. La Fondation lance chaque année une grande campagne d’appels à projets en recherche médicale appliquée destinée à soutenir des travaux de recherche cliniques et précliniques ...",,,69dd8137211fca90,ouvert,proche,True,26
Prix de l'Inspiration en ESS 2026,https://www.carenews.com/appels-a-projet/prix-de-l-inspiration-en-ess-2026,carenews,Carenews,Non spécifié,2025-12-18,2026-02-02,"environnement-transition, solidarite-inclusion, vie-associative",,,,,,,"Les Prix de l’Inspiration en ESS de la Fondation Crédit Coopératif récompensent des projets de territoire à dimension sociale et environnementale œuvrant pour l’intérêt général et dans des secteurs aussi variés que la culture, l'emploi, l'éducation, l'écologie, la santé, la citoyenneté, l'inclusion ...",,,fd2f2c45e49c62e6,ouvert,proche,True,30
Appel à projets pour la Planète 2026,https://www.carenews.com/appels-a-projet/appel-a-projets-pour-la-planete-2026,carenews,Carenews,Non spécifié,2025-12-08,2026-01-16,"culture-sport, vie-associative, numerique",,,,,,,Le mouvement 1 % for the Planet France ouvre son appel à projets : les associations agréées sont appelées à candidater d’ici le 16 janvier 2026 pour participer à la 11ᵉ édition des Rencontres pour la Planète ou figurer dans le Calendrier de l’Avent solidaire. Le dispositif s’appuie sur un comité de ...,,,090cd5472cb362d7,ouvert,proche,True,13
Un appel à projets pour un public fragile - Caisse d’Epargne Loire Drôme Ardèche  -  Fédération nationale des caisses d'épargne (fnce),https://www.carenews.com/federation-nationale-des-caisses-d-epargne-fnce/appels-a-projet/un-appel-a-projets-pour-un-public,carenews,Carenews,Fédération nationale des Caisses d'Épargne (FNCE),2025-11-12,2026-01-18,"numerique, economie-ess",,,,,,,"Face aux défis sociaux et économiques actuels, il est plus que jamais essentiel de soutenir les personnes en situation de fragilité. Après le succès de l’appel à projets lancé ces trois dernières années, la Caisse d’Epargne Loire Drôme Ardèche se réengage à travers un appel à projets pour soutenir ...",,,38eb9d8fdbf9973d,ouvert,proche,True,15
Entrepreneur.e de Demain - Saison 3,https://www.carenews.com/appels-a-projet/entrepreneur-e-de-demain-saison-3,carenews,Carenews,Non spécifié,2025-11-10,2026-01-31,,,,,,,,"La web-série sur la création d’entreprise, Entrepreneur.e de Demain, est de retour ! Après deux appels à casting qui ont vu naître Patch Guard, crèche canine et l’éco lieu Casa Mypi, le cabinet Gestion & Stratégies lance un nouvel appel à casting pour sa troisième saison.
Que vous soyez depuis ...",,,4d20c1dda908e3e8,ouvert,proche,True,28
Fonds d'urgence pour les communes et leurs groupements touchés par la tornade du 20 octobre 2025,https://www.iledefrance.fr/aides-et-appels-a-projets/820,iledefrance_opendata,Région Île-de-France,Région Île-de-France,2025-11-20,2026-01-30,autre,,collectivites,national,Île-de-France,,,"À la suite de la tornade survenue le lundi 20 octobre 2025 dans le Val d'Oise, la Région Île-de-France met en place un fonds exceptionnel pour accompagner les communes franciliennes et leurs groupements impactés par cet événement.",https://mesdemarches.iledefrance.fr/,amenagement@iledefrance.fr,3b244b2eb3ec8600,ouvert,proche,True,27
Appel à candidatures Village Femtech Salon Medintechs 9 et/ou 10 mars 2026  Parc floral,https://www.iledefrance.fr/aides-et-appels-a-projets/823,iledefrance_opendata,Région Île-de-France,Région Île-de-France,2025-11-25,2026-01-11,"education-jeunesse, sante-handicap, solidarite-inclusion",Attractivité|||Egalité femmes/hommes|||Emploi,"associations, entreprises, professionnels",national,Île-de-France,,,"La Région lance un appel à candidatures pour sélectionner 8 à 9 entreprises innovantes du secteur Femtech qui participeront, à titre gracieux, au Village Santé des Femmes de la Région sur le salon Medintechs les 9 et/ou 10 mars 2026 au Parc Floral",,femtech1@iledefrance.fr,ca4f559adda7985f,ouvert,proche,True,8
Aide à l'accompagnement de projets artistiques dans le domaine du spectacle vivant,https://www.iledefrance.fr/aides-et-appels-a-projets/309,iledefrance_opendata,Région Île-de-France,Région Île-de-France,2026-01-04,2026-02-02,culture-sport,Spectacle vivant,"associations, professionnels, collectivites",national,Île-de-France,,,La Région encourage les lieux et opérateurs à développer des synergies et à mutualiser leurs moyens pour mieux accompagner les équipes artistiques.,,barbara.constant@iledefrance.fr,fd733035891d2935,ouvert,proche,True,30
Bio+ : aide régionale à l'agriculture biologique,https://www.iledefrance.fr/aides-et-appels-a-projets/819,iledefrance_opendata,Région Île-de-France,Région Île-de-France,2025-11-02,2026-01-30,culture-sport,,professionnels,national,Île-de-France,,,La Région soutient l'agriculture biologique en Île-de-France à travers le déploiement d'une aide directe accordée en fonction des surfaces engagées en agriculture biologique.,,agriculture@iledefrance.fr,8d026633dd277cb4,ouvert,proche,True,27
Île-de-France JusTIGe,https://www.iledefrance.fr/aides-et-appels-a-projets/659,iledefrance_opendata,Région Île-de-France,Région Île-de-France,2025-11-30,2026-01-19,autre,Sécurité,associations,national,Île-de-France,,,La Région à travers Île-de-France JusTIGe soutient le développement du Travail d'Intérêt Général sur tout le territoire francilien.,,simeon.mavoulouque@iledefrance.fr,dcdcd5a4f7740cce,ouvert,proche,True,16
